p_list,q_list,T_list,t_list
2.726,18.5,2,1619055813745
2.771,2.97,1,1619055794129
2.768,3.82,2,1619055776239
2.768,5.04,2,1619055776227
2.768,3.29,2,1619055771681
2.734,3.28,1,1619055758492
2.775,128.4,1,1619055754420
2.774,2.85,2,1619055740929
2.725,18.51,2,1619055738530
2.773,2.82,1,1619055696830
2.777,2.76,2,1619055687716
2.769,4.17,2,1619055663667
2.769,2.49,2,1619055663657
2.776,3.14,2,1619055643811
2.726,3.31,2,1619055642983
2.724,115.53,2,1619055640025
2.728,3.62,2,1619055640025
2.778,1069.62,1,1619055633732
2.731,3.34,2,1619055621330
2.774,3.35,2,1619055605748
2.774,3.36,1,1619055605736
2.774,3.16,2,1619055605725
2.779,270.18,1,1619055590167
2.779,12.53,2,1619055569460
2.779,2.89,2,1619055569450
2.726,3.14,2,1619055561565
2.776,1008.49,1,1619055559648
2.729,6.17,2,1619055547763
2.729,4.29,1,1619055547751
2.729,2.76,1,1619055544409
2.776,90.59,1,1619055539909
2.776,20.26,1,1619055539909
2.775,3.58,1,1619055539909
2.724,1.57,1,1619055483691
2.721,2.66,1,1619055476994
2.724,0.65,2,1619055468065
2.724,2.42,1,1619055459772
2.724,3,2,1619055452181
2.725,2.88,2,1619055447059
2.776,2.94,1,1619055430309
2.725,2.8,2,1619055424110
2.725,3.74,2,1619055424101
2.725,4.36,2,1619055424089
2.725,3.1,2,1619055424080
2.722,3.07,2,1619055410837
2.722,2.95,1,1619055406332
2.721,2.28,2,1619055327773
2.718,3.38,2,1619055307384
2.717,3.38,2,1619055300717
2.716,2.85,1,1619055271630
2.719,2.42,1,1619055267617
