类别,职业
销售/市场类,销售代表
销售/市场类,公关人员
销售/市场类,市场策划人员
销售/市场类,客户服务人员
财务/行政类,人力资源管理人员
财务/行政类,审计人员
财务/行政类,会计人员
财务/行政类,企业行政人员
建筑类,风景园林工程技术人员
建筑类,建筑设计人员
建筑类,土木建筑工程人员
建筑类,建筑项目经理
建筑类,施工员
建筑类,建筑工程造价人员
建筑类,工程监理人员
建筑类,建筑信息模型（BIM）技术员
金融类,信贷管理人员
金融类,银行客户代表
金融类,风险控制人员
金融类,公司产品经理
金融类,银行柜员
金融类,个人产品经理
教育类,中学教师
教育类,小学教师
教育类,幼儿教师
教育类,特殊教育教师
教育类,大学教师
教育类,培训机构教师
教育类,中等职业学校教师
法律类,法官
法律类,企业法务人员
法律类,检察官
法律类,律师
法律类,知识产权专业人员
医疗类,外科医师
医疗类,口腔科医师
医疗类,内科医师
医疗类,临床检验技师
医疗类,护士
医疗类,放射科医师
医疗类,药剂师
医疗类,中医科医师
农业类,植物保护人员
农业类,园艺技术人员
农业类,畜牧与草业技术人员
农业类,遗传育种栽培技术人员
农业类,土壤肥料技术人员
农业类,农业经理人
工程技术类,水利工程技术人员
工程技术类,电子工程技术人员
工程技术类,机械工程技术人员
工程技术类,电气工程技术人员
工程技术类,电力工程技术人员
工程技术类,汽车工程技术人员
工程技术类,航空工程技术人员
工程技术类,铁路工程技术人员
工程技术类,船舶工程技术人员
工程技术类,地质勘探技术人员
工程技术类,石油与天然气工程技术人员
工程技术类,管道工程与油气储运技术人员
工程技术类,食品工程技术人员
计算机类,系统集成工程师
计算机类,游戏开发工程师
计算机类,计算机硬件工程师
计算机类,网络工程师
计算机类,计算机软件工程师
计算机类,软件测试工程师
计算机类,移动客户端开发工程师
计算机类,互联网产品经理
计算机类,用户界面(UI)设计师
计算机类,网页(WEB)前端开发工程师
计算机类,信息技术(IT)项目经理
计算机类,人工智能工程技术人员
计算机类,大数据工程技术人员
计算机类,物联网工程技术人员
证券类,投资经理
证券类,理财规划师
证券类,证券分析师
证券类,投资银行业务人员
证券类,机构销售经理
保险类,核保核赔人员
保险类,精算师
保险类,保险销售人员
贸易和物流类,外贸人员
贸易和物流类,供应链管理人员
贸易和物流类,采购人员
贸易和物流类,物流管理人员
生产制造类,生产管理人员
生产制造类,质量检验工程技术人员
生产制造类,制造工艺技术人员
生物制药类,药品研发人员
生物制药类,制药工程技术人员
生物制药类,生物工程技术人员
化工环保类,环境保护工程技术人员
化工环保类,化工工程技术人员
艺术设计类,广告设计师
艺术设计类,工业设计师
艺术设计类,平面设计师
艺术设计类,服装设计师
传媒文化类,广播电视编导
传媒文化类,播音主持人员
传媒文化类,翻译
传媒文化类,记者
传媒文化类,编辑
酒店旅游类,酒店前厅接待人员
酒店旅游类,酒店管理人员
酒店旅游类,导游
体育类,健身教练
通信类,通信信息系统工程师
通信类,通信交换工程师
通信类,通信传输接入工程师
通信类,通信电源工程师
通信类,通信终端业务工程师
公务员类,公务员(中央国家机关)
公务员类,公务员(省级机关)
公务员类,公务员(区县级及以下机关)
公务员类,公务员(地市级机关)
青年创业者,青年创业者
