类别,学科,序号,学校代码,校名,评选结果,百分比排名
人文社科类,哲学,1,10001,北京大学,A+,前2%或前2名
人文社科类,哲学,2,10246,复旦大学,A+,前2%或前2名
人文社科类,哲学,3,10002,中国人民大学,A,2%～5%
人文社科类,哲学,4,10284,南京大学,A,2%～5%
人文社科类,哲学,5,10027,北京师范大学,A-,5%～10%
人文社科类,哲学,6,10183,吉林大学,A-,5%～10%
人文社科类,哲学,7,10486,武汉大学,A-,5%～10%
人文社科类,哲学,8,10558,中山大学,A-,5%～10%
人文社科类,哲学,9,10003,清华大学,B+,10%～20%
人文社科类,哲学,10,10055,南开大学,B+,10%～20%
人文社科类,哲学,11,10212,黑龙江大学,B+,10%～20%
人文社科类,哲学,12,10269,华东师范大学,B+,10%～20%
人文社科类,哲学,13,10286,东南大学,B+,10%～20%
人文社科类,哲学,14,10335,浙江大学,B+,10%～20%
人文社科类,哲学,15,10422,山东大学,B+,10%～20%
人文社科类,哲学,16,10487,华中科技大学,B+,10%～20%
人文社科类,哲学,17,10052,中央民族大学,B,20%～30%
人文社科类,哲学,18,10108,山西大学,B,20%～30%
人文社科类,哲学,19,10145,东北大学,B,20%～30%
人文社科类,哲学,20,10247,同济大学,B,20%～30%
人文社科类,哲学,21,10319,南京师范大学,B,20%～30%
人文社科类,哲学,22,10384,厦门大学,B,20%～30%
人文社科类,哲学,23,10542,湖南师范大学,B,20%～30%
人文社科类,哲学,24,10610,四川大学,B,20%～30%
人文社科类,哲学,25,10718,陕西师范大学,B,20%～30%
人文社科类,哲学,26,10140,辽宁大学,B-,30%～40%
人文社科类,哲学,27,10141,大连理工大学,B-,30%～40%
人文社科类,哲学,28,10270,上海师范大学,B-,30%～40%
人文社科类,哲学,29,10285,苏州大学,B-,30%～40%
人文社科类,哲学,30,10533,中南大学,B-,30%～40%
人文社科类,哲学,31,10574,华南师范大学,B-,30%～40%
人文社科类,哲学,32,10635,西南大学,B-,30%～40%
人文社科类,哲学,33,10698,西安交通大学,B-,30%～40%
人文社科类,哲学,34,10053,中国政法大学,C+,40%～50%
人文社科类,哲学,35,10075,河北大学,C+,40%～50%
人文社科类,哲学,36,10357,安徽大学,C+,40%～50%
人文社科类,哲学,37,10385,华侨大学,C+,40%～50%
人文社科类,哲学,38,10403,南昌大学,C+,40%～50%
人文社科类,哲学,39,10475,河南大学,C+,40%～50%
