专业批次,学校,特色专业
第七批,北京大学,能源与资源工程
第七批,北京大学,环境工程
第七批,清华大学,生物科学
第七批,北京科技大学,物联网工程
第七批,北京科技大学,环境工程
第七批,北京化工大学,能源化学工程
第七批,北京邮电大学,网络工程
第七批,北京邮电大学,物联网工程
第七批,华北电力大学,能源工程及自动化
第七批,华北电力大学,智能电网信息工程
第七批,中国地质大学(北京),地理信息系统
第七批,中国地质大学(北京),资源勘查工程
第七批,中国农业大学,生物工程
第七批,中国农业大学,种子科学与工程
第七批,南开大学,微电子学
第七批,南开大学,资源循环科学与工程
第七批,天津大学,生物医学工程
第七批,天津大学,环境工程
第七批,大连理工大学,功能材料
第七批,大连理工大学,能源化学工程
第七批,东北大学,热能与动力工程
第七批,东北大学,环境工程
第七批,吉林大学,电子信息科学与技术
第七批,吉林大学,物联网工程
第七批,上海交通大学,植物生物技术
第七批,上海交通大学,核工程与核技术
第七批,华东理工大学,新能源材料与器件
第七批,华东理工大学,资源循环科学与工程
第七批,东华大学,功能材料
第七批,东华大学,能源与环境系统工程
第七批,东南大学,新能源材料与器件
第七批,东南大学,传感网技术
第七批,江南大学,生物技术
第七批,江南大学,物联网工程
第七批,中国矿业大学,材料科学与工程（能源材料方向）
第七批,中国矿业大学,化学工程与工艺（能源化工方向）
第七批,河海大学,新能源科学与工程
第七批,河海大学,物联网工程
第七批,中国药科大学,生物制药
第七批,中国药科大学,药物化学
第七批,浙江大学,材料科学与工程
第七批,浙江大学,电子科学与技术
第七批,合肥工业大学,新能源材料与器件
第七批,合肥工业大学,物联网工程
第七批,山东大学,热能与动力工程
第七批,山东大学,环境工程
第七批,中国石油大学(华东),环保设备工程
第七批,中国海洋大学,环境工程
第七批,中国海洋大学,海洋资源开发技术
第七批,武汉大学,核工程与核技术
第七批,武汉大学,环境工程
第七批,华中科技大学,新能源科学与工程
第七批,华中科技大学,光电子材料与器件
第七批,武汉理工大学,物联网工程
第七批,武汉理工大学,建筑节能技术与工程
第七批,湖南大学,材料科学与工程
第七批,湖南大学,通信工程
