类别,百科名,百科内容
大学,双一流,"<div class=""TRS_Editor""><p>　　“双一流”是世界一流大学和一流学科建设，2017年9月21日教育部发布《关于公布世界一流大学和一流学科建设高校及建设学科名单的通知》，公布世界一流大学和一流学科（简称“双一流”）建设高校及建设学科名单。</p>
<p align=""center""><a href=""https://daxue.eol.cn/syl.shtml""><img style=""border-right-width: 0px; border-top-width: 0px; border-bottom-width: 0px; border-left-width: 0px"" alt=""高考百科：什么是双一流"" oldsrc=""W020170922631139383918.png"" complete=""complete"" src=""./W020170922631139383918.png""></a></p>
<p align=""center""><a target=""_blank"" href=""https://gaokao.eol.cn/news/201709/t20170921_1555952.shtml""><b>点击查看:各省双一流大学名单</b></a></p>
<p>　　2015年10月24日，国务院印发《统筹推进世界一流大学和一流学科建设总体方案》，要求按照“四个全面”战略布局和党中央、国务院决策部署，坚持以中国特色、世界一流为核心，以立德树人为根本，以支撑创新驱动发展战略、服务经济社会发展为导向，坚持“以一流为目标、以学科为基础、以绩效为杠杆、以改革为动力”的基本原则，加快建成一批世界一流大学和一流学科。</p>
<p>　　2017年1月27日，教育部、财政部 、国家发展改革委联合印发《统筹推进世界一流大学和一流学科建设实施办法（暂行）》的通知。要求坚持以学科为基础，支持建设一百个左右学科，着力打造学科领域高峰。支持一批接近或达到世界先进水平的学科，加强建设关系国家安全和重大利益的学科，鼓励新兴学科、交叉学科，布局一批国家急需、支撑产业转型升级和区域发展的学科，积极建设具有中国特色、中国风格、中国气派的哲学社会科学体系，着力解决经济社会中的重大战略问题，提升国家自主创新能力和核心竞争力。强化学科建设绩效考核，引领高校提高办学水平和综合实力。同时，每五年一个建设周期，2016年开始新一轮建设。建设高校实行总量控制、开放竞争、动态调整。</p>
<p>　　<strong>“双一流”建设总体目标</strong>　</p>
<p>　　着眼于国家“两个一百年”的战略目标，统筹推进一流大学和一流学科建设将分三步走：</p>
<p>　　第一步到2020年，若干所大学和一批学科进入世界一流行列，若干学科进入世界一流学科前列；</p>
<p>　　第二步到2030年，更多的大学和学科进入世界一流行列，若干所大学进入世界一流前列，一批学科进入世界一流学科前列，高等教育整体实力显著提升；</p>
<p>　　第三步到本世纪中叶，一流大学和一流学科的数量和实力进入世界前列，基本建成高等教育强国。</p>
<p>　　<strong>“双一流”建设10项重点任务</strong></p>
<p>　　《总体方案》围绕“中国特色，世界一流”的核心要求，从建设、改革两方面共安排了10项重点任务。</p>
<p>　　<strong>5项建设任务</strong></p>
<p>　　建设一流师资队伍。强化高层次人才的支撑和引领作用，加快培养和引进一批一流科学家、学科领军人物和创新团队，培养造就一支优秀教师队伍。</p>
<p>　　培养拔尖创新人才。突出人才培养的核心地位，着力培养具有国家使命感和社会责任心，富有创新精神和实践能力的各类创新型、应用型、复合型的优秀人才。</p>
<p>　　提升科学研究水平。以国家重大需求为导向，提升高水平科学研究能力，着力提升解决重大问题和原始创新的能力，推进科研组织模式创新。打造具有中国特色和世界影响的新型高校智库。</p>
<p>　　传承创新优秀文化。加强大学文化建设，把社会主义核心价值观融入教育教学全过程，发挥中华优秀传统文化的教化育人作用。</p>
<p>　　着力推进成果转化。深化产教融合，着力提高高校对产业转型升级的贡献率，推动重大科学创新、关键技术突破转变为先进生产力，增强高校创新资源对经济社会发展的驱动力。</p>
<p>　<strong>　5项改革任务</strong></p>
<p>　　加强和改进党对高校的领导。坚持和完善党委领导下的校长负责制，牢牢把握高校意识形态工作领导权，全面推进高校党的建设各项工作。</p>
<p>　　完善内部治理结构。加快形成以章程为统领的完善、规范、统一的制度体系，加强学术组织建设，完善民主管理和监督。</p>
<p>　　实现关键环节突破。加快推进人事制度、人才培养模式、科研体制机制、资源募集机制等方面的改革。</p>
<p>　　构建社会参与机制。加快建立健全社会支持和监督学校发展的长效机制。建立健全理事会制度，加快完善与行业、企业密切合作模式。</p>
<p>　　推进国际交流合作。加强与世界一流大学和学术机构的实质性合作，加强国际协同创新，切实提高我国高等教育的国际竞争力和话语权。
 </p> </div>
            "
大学,985高校,"<div class=""TRS_Editor""><p align=""justify"">　　1998年5月4日，江泽民总书记在庆祝北大建校100周年大会上向全社会宣告：“为了实现现代化，我国要有若干所具有世界先进水平的一流大学。”为贯彻落实党中央科教兴国的战略和江泽民同志的号召，教育部决定在实施“面向21世纪教育振兴行动计划”中，重点支持北京大学、清华大学等部分高等学校创建世界一流大学和高水平大学，简称“985”工程。截止到目前，全国共有39所高校入选“985工程。</p></div>
            "
大学,211高校,"<div class=""TRS_Editor""><p align=""justify"">　　“211工程”即面向21世纪，重点建设100所左右的高等学校和一批重点学科。这是我国为落实科教兴国战略而实施的一项跨世纪的战略工程，也是新中国成立以来在高等教育领域进行的规模最大的重点建设项目。“211工程”自“九五”期间立项建设，中央和地方共投入资金180亿元，建设了一批高等院校和重点 学科，改善了一批高等学校的教学和科研条件，一批重点学科已成为国家科技创新和高层次人才培养的重要基地。</p>
<p align=""center""><a href=""https://daxue.eol.cn/211.shtml""><img style=""border-left-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-top-width: 0px"" alt=""211工程大学"" oldsrc=""W020171101427258430824.jpg"" src=""./W020171101427258430824.jpg""></a></p>
<p align=""justify"">　　各省市入选“211工程”高校名单如下：</p>
<p align=""justify"">　　北京（26所）</p>
<p align=""justify"">　　清华大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school46.htm"" name=""AnchorAddByWCM"">中国人民大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school30.htm"" name=""AnchorAddByWCM"">北京工业大学</a></p>
<p align=""justify"">　　北京理工大学</p>
<p align=""justify"">　　北京化工大学</p>
<p align=""justify"">　　中国农业大学</p>
<p align=""justify"">　　中国传媒大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school52.htm"" name=""AnchorAddByWCM"">北京师范大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school53.htm"" name=""AnchorAddByWCM"">对外经济贸易大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school39.htm"" name=""AnchorAddByWCM"">北京外国语大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school110.htm"" name=""AnchorAddByWCM"">中国矿业大学</a>（北京）</p>
<p align=""justify"">　　中国政法大学</p>
<p align=""justify"">　　华北电力大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school31.htm"" name=""AnchorAddByWCM"">北京大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school38.htm"" name=""AnchorAddByWCM"">北京交通大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school47.htm"" name=""AnchorAddByWCM"">北京航空航天大学</a></p>
<p align=""justify"">　　北京科技大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school48.htm"" name=""AnchorAddByWCM"">北京邮电大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school43.htm"" name=""AnchorAddByWCM"">北京林业大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school45.htm"" name=""AnchorAddByWCM"">中央民族大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school40.htm"" name=""AnchorAddByWCM"">中央音乐学院</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school49.htm"" name=""AnchorAddByWCM"">北京中医药大学</a></p>
<p align=""justify"">　　中国地质大学（北京）</p>
<p align=""justify"">　　中国石油大学（北京）</p>
<p align=""justify"">　　中央财经大学</p>
<p align=""justify"">　　北京体育大学</p>
<p align=""justify"">　　上海（9所）</p>
<p align=""justify"">　　上海外国语大学</p>
<p align=""justify"">　　华东师范大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school135.htm"" name=""AnchorAddByWCM"">东华大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school133.htm"" name=""AnchorAddByWCM"">华东理工大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school125.htm"" name=""AnchorAddByWCM"">上海交通大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school132.htm"" name=""AnchorAddByWCM"">复旦大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school76.htm"" name=""AnchorAddByWCM"">上海大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school130.htm"" name=""AnchorAddByWCM"">上海财经大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school73.htm"" name=""AnchorAddByWCM"">同济大学</a></p>
<p align=""justify"">　　天津（4所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school59.htm"" name=""AnchorAddByWCM"">南开大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school78.htm"" name=""AnchorAddByWCM"">天津医科大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school60.htm"" name=""AnchorAddByWCM"">天津大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school41.htm"" name=""AnchorAddByWCM"">河北工业大学</a></p>
<p align=""justify"">　　重庆（2所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school119.htm"" name=""AnchorAddByWCM"">重庆大学</a></p>
<p align=""justify"">　　西南大学</p>
<p align=""justify"">　　河北（1所）</p>
<p align=""justify"">　　华北电力大学（保定）</p>
<p align=""justify"">　　山西（1所）</p>
<p align=""justify"">　　太原理工大学</p>
<p align=""justify"">　　内蒙古（1所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school32.htm"" name=""AnchorAddByWCM"">内蒙古大学</a></p>
<p align=""justify"">　　辽宁（4所）</p>
<p align=""justify"">　　大连理工大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school50.htm"" name=""AnchorAddByWCM"">辽宁大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school134.htm"" name=""AnchorAddByWCM"">东北大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school33.htm"" name=""AnchorAddByWCM"">大连海事大学</a></p>
<p align=""justify"">　　吉林（3所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school122.htm"" name=""AnchorAddByWCM"">吉林大学</a></p>
<p align=""justify"">　　延边大学</p>
<p align=""justify"">　　东北师范大学</p>
<p align=""justify"">　　黑龙江（4所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school34.htm"" name=""AnchorAddByWCM"">哈尔滨工业大学</a></p>
<p align=""justify"">　　东北农业大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school124.htm"" name=""AnchorAddByWCM"">哈尔滨工程大学</a></p>
<p align=""justify"">　　东北林业大学</p>
<p align=""justify"">　　江苏（11所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school111.htm"" name=""AnchorAddByWCM"">南京大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school118.htm"" name=""AnchorAddByWCM"">苏州大学</a></p>
<p align=""justify"">　　中国矿业大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school116.htm"" name=""AnchorAddByWCM"">河海大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school86.htm"" name=""AnchorAddByWCM"">江南大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school77.htm"" name=""AnchorAddByWCM"">南京航空航天大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school109.htm"" name=""AnchorAddByWCM"">东南大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school115.htm"" name=""AnchorAddByWCM"">南京师范大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school117.htm"" name=""AnchorAddByWCM"">中国药科大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school112.htm"" name=""AnchorAddByWCM"">南京理工大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school113.htm"" name=""AnchorAddByWCM"">南京农业大学</a></p>
<p align=""justify"">　　浙江（1所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school114.htm"" name=""AnchorAddByWCM"">浙江大学</a></p>
<p align=""justify"">　　安徽（3所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school66.htm"" name=""AnchorAddByWCM"">中国科学技术大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school63.htm"" name=""AnchorAddByWCM"">合肥工业大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school67.htm"" name=""AnchorAddByWCM"">安徽大学</a></p>
<p align=""justify"">　　福建（2所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school102.htm"" name=""AnchorAddByWCM"">厦门大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school103.htm"" name=""AnchorAddByWCM"">福州大学</a></p>
<p align=""justify"">　　江西（1所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school108.htm"" name=""AnchorAddByWCM"">南昌大学</a></p>
<p align=""justify"">　　山东（3所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school126.htm"" name=""AnchorAddByWCM"">山东大学</a></p>
<p align=""justify"">　　中国石油大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school61.htm"" name=""AnchorAddByWCM"">中国海洋大学</a></p>
<p align=""justify"">　　河南（1所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school62.htm"" name=""AnchorAddByWCM"">郑州大学</a></p>
<p align=""justify"">　　湖北（7所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school42.htm"" name=""AnchorAddByWCM"">武汉大学</a></p>
<p align=""justify"">　　武汉理工大学</p>
<p align=""justify"">　　华中师范大学</p>
<p align=""justify"">　　中国地质大学（武汉）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school127.htm"" name=""AnchorAddByWCM"">华中科技大学</a></p>
<p align=""justify"">　　中南财经政法大学</p>
<p align=""justify"">　　华中农业大学</p>
<p align=""justify"">　　湖南（3所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school44.htm"" name=""AnchorAddByWCM"">湖南大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school58.htm"" name=""AnchorAddByWCM"">湖南师范大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school123.htm"" name=""AnchorAddByWCM"">中南大学</a></p>
<p align=""justify"">　　广东（4所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school104.htm"" name=""AnchorAddByWCM"">中山大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school105.htm"" name=""AnchorAddByWCM"">华南理工大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school106.htm"" name=""AnchorAddByWCM"">暨南大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school98.htm"" name=""AnchorAddByWCM"">华南师范大学</a></p>
<p align=""justify"">　　广西（共1所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school96.htm"" name=""AnchorAddByWCM"">广西大学</a></p>
<p align=""justify"">　　四川（共5所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school99.htm"" name=""AnchorAddByWCM"">四川大学</a></p>
<p align=""justify"">　　电子科技大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school101.htm"" name=""AnchorAddByWCM"">西南财经大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school51.htm"" name=""AnchorAddByWCM"">西南交通大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school100.htm"" name=""AnchorAddByWCM"">四川农业大学</a></p>
<p align=""justify"">　　云南（1所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school35.htm"" name=""AnchorAddByWCM"">云南大学</a></p>
<p align=""justify"">　　贵州（1所）</p>
<p align=""justify"">　　贵州大学</p>
<p align=""justify"">　　陕西（7所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school37.htm"" name=""AnchorAddByWCM"">西北大学</a></p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school107.htm"" name=""AnchorAddByWCM"">西北工业大学</a></p>
<p align=""justify"">　　西北农林科技大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school57.htm"" name=""AnchorAddByWCM"">西安电子科技大学</a></p>
<p align=""justify"">　　西安交通大学</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school36.htm"" name=""AnchorAddByWCM"">长安大学</a></p>
<p align=""justify"">　　陕西师范大学</p>
<p align=""justify"">　　甘肃（1所）</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school97.htm"" name=""AnchorAddByWCM"">兰州大学</a></p>
<p align=""justify"">　　海南（1所）</p>
<p align=""justify"">　　海南大学</p>
<p align=""justify"">　　宁夏（1所）</p>
<p align=""justify"">　　宁夏大学</p>
<p align=""justify"">　　青海（1所）</p>
<p align=""justify"">　　青海大学</p>
<p align=""justify"">　　西藏（1所）</p>
<p align=""justify"">　　西藏大学</p>
<p align=""justify"">　　新疆(2所)</p>
<p align=""justify"">　　<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school74.htm"" name=""AnchorAddByWCM"">新疆大学</a></p>
<p align=""justify"">　　石河子大学</p>
<p align=""justify"">　　军事系统(3所)</p>
<p align=""justify"">　　第二军医大学</p>
<p align=""justify"">　　国防科技大学</p>
<p align=""justify"">　　第四军医大学</p></div>
            "
大学,正规高校,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　根据教育部公布的名单，截至2017年5月31日，我国共有普通高等学校2631所（含独立学院265所）。对于违规招生的单位，其所招学生的学籍、发放的毕业证书国家均不予承认。广大考生和公众可以登录教育部网站查询目前具有普通高等学历教育招生资格的院校名单，不在名单之列的各类办学机构均不具备招生资格。</p>
            "
大学,中央部委直属,"<div class=""con-jianjie"">国务院部门直属高等学校，简称“中央部属高校”，是指国务院组成部门及其直属机构在全国范围内直属管理一批高等院校。我国中央部属高校共<em><strong><font color=""#ff3300"">117</font></strong></em>所。其中，教育部直属高校有75所，工业和信息化部有8所，国家民族事务委员会有6所，公安部5所，民用航空总局4所，其它大多部委都是1所高校。</div>
		  "
大学,教育部直属,"<div class=""con-jianjie"">
				中华人民共和国教育部直属高等学校指由中华人民共和国教育部直属管理的一批高等学校，是中央部门直属高等学校的重要组成部分。教育部直属的普通高校共有<strong><em><font color=""#ff3300"">75</font></em></strong>所。其中北京市最多，共有24所，			以下是具体名单。</div>

    "
大学,示范性高职,"<div class=""con-jianjie"">
				国家示范性高等职业院校建设计划是为了提升高等职业院校的办学水平，中华人民共和国教育部启动了被称为“<strong>高职211</strong>”的“百所示范性高等职业院校建设工程”。首批立项建设有28所院校，第二批立项建设的有42所院校，第三批立项建设的有30所院校，共100所。这些示范性高职是一个省高职院校的典范，也基本上是一个省的最强高职。</div>
			"
大学,骨干高职,"<div class=""con-jianjie"">
				教育部和财政部联合下发了《关于进一步推进“国家示范性高等职业院校建设计划”实施工作的通知》，在原有已建设100所国家示范性高等职业院校的基础上，新增100所左右国家骨干高职院校，以此继续推进“国家示范性高等职业院校建设计划”。</div>
	  "
大学,独立学院,"<div class=""TRS_Editor""><p>　　独立学院，是指实施本科以上学历教育的普通高等学校与国家机构以外的社会组织或者个人合作，利用非国家财政性经费举办的实施本科学历教育的高等学校，因而独立学院学费是公立大学的三到四倍。</p>
<p>　　独立学院是民办高等教育的重要组成部分，属于公益性事业，依法享有民办教育促进法、民办教育促进法实施条例规定的各项奖励与扶持政策；由省、自治区、直辖市人民政府教育行政部门主管本行政区域内的独立学院工作。截至2016年5月30日，全国共有独立学院266所。</p>
<p>　　独立学院有三大特征：一是一律采用民办机制，所需经费投入及其它相关支出，均由合作方承担或以民办机制共同筹措，学生收费标准也按国家有关民办高校招生收费政策制定；二是实行新的办学模式。重点是突出一个“独”字。独立学院应具有独立的校园和基本办学设施，实施相对独立的教学组织和管理，独立进行招生，独立颁发学历证书，独立进行财务核算，应具有独立法人资格，能独立承担民事责任；三是实行新的管理体制。独立学院的管理制度和办法由申请者和合作者共同商定。</p></div>
            "
大学,民办高校,"<div class=""TRS_Editor"">民办高校指的是企业事业组织、社会团体及其他社会组织和公民个人利用非国家财政性教育经费，面向社会举办的高等学校及其他教育机构，其办学层次分专科和本科。民办高校的学费是公立大学的三到四倍。国家鼓励社会力量举办实施义务教育的教育机构作为国家实施义务教育的补充。国家严格控制社会力量举办高等教育机构。国家对社会力量办学实行办学许可证制度。各级教育行政部门按照规定的审批权限，对批准设立的教育机构发给办学许可证。
<p> </p></div>
            "
