rank,school,year
26,清华大学,2022
45,北京大学,2022
76,香港大学,2022
82,香港中文大学,2022
105,香港科技大学,2022
105,上海交通大学,2022
110,中国科学技术大学,2022
115,浙江大学,2022
124,香港理工大学,2022
135,南京大学,2022
141,香港城市大学,2022
141,复旦大学,2022
159,中山大学,2022
159,中国科学院大学,2022
176,华中科技大学,2022
195,湖南大学,2022
203,哈尔滨工业大学,2022
209,武汉大学,2022
224,同济大学,2022
236,中南大学,2022
250,华南理工大学,2022
255,东南大学,2022
255,西安交通大学,2022
266,北京航空航天大学,2022
272,电子科技大学,2022
278,厦门大学,2022
289,南开大学,2022
295,北京师范大学,2022
308,天津大学,2022
314,中国地质大学,2022
327,深圳大学,2022
327,苏州大学,2022
350,南方科技大学,2022
354,四川大学,2022
361,北京理工大学,2022
371,华东师范大学,2022
371,武汉理工大学,2022
379,中国农业大学,2022
387,大连理工大学,2022
399,山东大学,2022
405,山东科技大学,2022
425,西北工业大学,2022
448,重庆大学,2022
448,吉林大学,2022
456,上海大学,2022
464,北京科技大学,2022
473,北京化工大学,2022
473,澳门大学,2022
484,华中师范大学,2022
484,南京信息工程大学,2022
495,上海科技大学,2022
510,郑州大学,2022
516,中国石油大学,2022
525,中国人民大学,2022
531,华中农业大学,2022
531,南京农业大学,2022
537,南京理工大学,2022
548,长沙理工大学,2022
559,兰州大学,2022
577,中国矿业大学,2022
596,北京交通大学,2022
610,香港浸会大学,2022
613,西北农林科技大学,2022
619,福州大学,2022
619,广州大学,2022
624,南京工业大学,2022
625,华东理工大学,2022
647,江南大学,2022
668,东北大学（中国）,2022
681,暨南大学,2022
684,河海大学,2022
696,浙江师范大学,2022
701,北京工业大学,2022
701,西南交通大学,2022
712,南京航空航天大学,2022
720,中国海洋大学,2022
729,西安电子科技大学,2022
738,华南农业大学,2022
744,东华大学,2022
744,北京协和医学院,2022
760,北京邮电大学,2022
760,哈尔滨工程大学,2022
760,西南大学（中国）,2022
771,南昌大学,2022
771,山东师范大学,2022
788,福建农林大学,2022
790,合肥工业大学,2022
790,浙江工业大学,2022
797,广东工业大学,2022
804,南京医科大学,2022
809,曲阜师范大学,2022
813,华北电力大学,2022
817,西北大学（中国）,2022
855,南京师范大学,2022
886,香港教育大学,2022
