rank,school,year
1,Harvard University,2021
2,Massachusetts Institute of Technology,2021
3,Stanford University,2021
4,University of Cambridge,2021
5,University of Oxford,2021
6,Princeton University,2021
7,Columbia University,2021
8,University of Chicago,2021
9,University of Pennsylvania,2021
10,Yale University,2021
11,California Institute of Technology,2021
12,"University of California, Berkeley",2021
13,University of Tokyo,2021
14,Cornell University,2021
15,"University of Michigan, Ann Arbor",2021
16,Johns Hopkins University,2021
17,Northwestern University,2021
18,"University of California, Los Angeles",2021
19,University College London,2021
20,Duke University,2021
21,PSL University,2021
22,University of Illinois at Urbana–Champaign,2021
23,University of Washington - Seattle,2021
24,University of Toronto,2021
25,University of Wisconsin–Madison,2021
26,New York University,2021
27,McGill University,2021
28,Kyoto University,2021
29,ETH Zurich,2021
30,Imperial College London,2021
31,Seoul National University,2021
32,Paris-Saclay University,2021
33,University of Texas at Austin,2021
34,"University of California, San Diego",2021
35,Karolinska Institute,2021
36,Sorbonne University,2021
37,University of Copenhagen,2021
38,"University of California, San Francisco",2021
39,University of North Carolina at Chapel Hill,2021
40,Dartmouth College,2021
41,Institut Polytechnique de Paris,2021
42,University of Paris,2021
43,King's College London,2021
44,Ludwig Maximilian University of Munich,2021
45,University of Edinburgh,2021
46,University of Minnesota - Twin Cities,2021
47,Washington University in St. Louis,2021
48,University of British Columbia,2021
49,Rockefeller University,2021
50,Rutgers University–New Brunswick,2021
51,University of Southern California,2021
52,"University of California, Davis",2021
53,Vanderbilt University,2021
54,Pennsylvania State University,2021
55,Free University of Berlin,2021
56,Ohio State University,2021
57,University of Manchester,2021
58,Tsinghua University,2021
59,Peking University,2021
60,Humboldt University of Berlin,2021
61,Purdue University,2021
62,University of Texas Southwestern Medical Center,2021
63,University of Melbourne,2021
64,Hebrew University of Jerusalem,2021
65,University of Zurich,2021
66,Brown University,2021
67,Weizmann Institute of Science,2021
68,University of Colorado Boulder,2021
69,University of Virginia,2021
70,Heidelberg University,2021
71,Utrecht University,2021
72,University of Pittsburgh,2021
73,University of Chinese Academy of Sciences,2021
74,"Texas A&M University, College Station",2021
75,"University of Maryland, College Park",2021
76,Georgia Institute of Technology,2021
77,University of Oslo,2021
78,Osaka University,2021
79,University of Birmingham,2021
80,Technical University of Munich,2021
81,University of Alberta,2021
82,"University of California, Irvine",2021
83,University of Rochester,2021
84,University of Amsterdam,2021
85,Carnegie Mellon University,2021
86,University of Florida,2021
87,Leiden University,2021
88,Uppsala University,2021
89,National University of Singapore,2021
90,National Taiwan University,2021
91,University of Bristol,2021
92,University of Göttingen,2021
93,University of Arizona,2021
94,Boston University,2021
95,"University of California, Santa Barbara",2021
96,Erasmus University Rotterdam,2021
97,Keio University,2021
98,University of Sydney,2021
99,University of Geneva,2021
100,University of Basel,2021
101,University of Leeds,2021
102,Shanghai Jiao Tong University,2021
103,University of Groningen,2021
104,École Polytechnique Fédérale de Lausanne,2021
105,University of São Paulo,2021
106,University of Texas MD Anderson Cancer Center,2021
107,Aarhus University,2021
108,University of Tübingen,2021
109,University of Queensland,2021
110,Zhejiang University,2021
111,Indiana University Bloomington,2021
112,University of Utah,2021
113,Sapienza University of Rome,2021
114,University of New South Wales,2021
115,Fudan University,2021
116,KU Leuven,2021
117,University of Southampton,2021
118,University of Helsinki,2021
119,INSEAD,2021
120,University of Montreal,2021
121,Ghent University,2021
122,University of Freiburg,2021
123,University of Bonn,2021
124,Emory University,2021
125,Australian National University,2021
126,University of Glasgow,2021
127,Baylor College of Medicine,2021
128,Monash University,2021
129,Case Western Reserve University,2021
130,Nagoya University,2021
131,University of Barcelona,2021
132,Tohoku University,2021
133,Goethe University Frankfurt,2021
134,Tufts University,2021
135,University of Nottingham,2021
136,Nanyang Technological University,2021
137,University of Liverpool,2021
138,Grenoble Alpes University,2021
139,University of Science and Technology of China,2021
140,KTH Royal Institute of Technology,2021
141,Lund University,2021
142,VU Amsterdam,2021
143,University of Bern,2021
144,Stockholm University,2021
145,University of Iowa,2021
146,Michigan State University,2021
147,Rice University,2021
148,University of Strasbourg,2021
149,University of Colorado Anschutz Medical Campus,2021
150,University of Sheffield,2021
151,Tokyo Institute of Technology,2021
152,Tel Aviv University,2021
153,Sun Yat-sen University,2021
154,Queen Mary University of London,2021
155,Radboud University,2021
156,University of Western Australia,2021
157,Aix-Marseille University,2021
158,University of Massachusetts Amherst,2021
159,Cardiff University,2021
160,Huazhong University of Science and Technology,2021
161,Technion – Israel Institute of Technology,2021
162,Nanjing University,2021
163,Korea University,2021
164,McMaster University,2021
165,University of Padova,2021
166,University of Hamburg,2021
167,Iowa State University,2021
168,University of Montpellier,2021
169,Yonsei University,2021
170,University of Notre Dame,2021
171,University of Hong Kong,2021
172,Icahn School of Medicine at Mount Sinai,2021
173,University of Gothenburg,2021
174,University of Warwick,2021
175,École nationale d'administration,2021
176,University of Milan,2021
177,University of Bologna,2021
178,Newcastle University,2021
179,University of Alabama at Birmingham,2021
180,Wageningen University & Research,2021
181,Arizona State University,2021
182,Norwegian University of Science and Technology,2021
183,Western University,2021
184,University of Cologne,2021
185,University of Kansas,2021
186,Autonomous University of Barcelona,2021
187,Chinese University of Hong Kong,2021
188,Waseda University,2021
189,University of Lausanne,2021
190,University of Calgary,2021
191,North Carolina State University,2021
192,Sungkyunkwan University,2021
193,University of Münster,2021
194,Lomonosov Moscow State University,2021
195,University of Connecticut,2021
196,Technical University of Denmark,2021
197,Université catholique de Louvain,2021
198,Stony Brook University,2021
199,Brandeis University,2021
200,University of Waterloo,2021
201,University of Lisbon,2021
202,University of Ottawa,2021
203,University of Würzburg,2021
204,University of Georgia,2021
205,Xi'an Jiaotong University,2021
206,Harbin Institute of Technology,2021
207,University of Vienna,2021
208,Johannes Gutenberg University Mainz,2021
209,Yeshiva University,2021
210,Technical University of Dresden,2021
211,RWTH Aachen University,2021
212,The Scripps Research Institute,2021
213,University of Adelaide,2021
214,University of Illinois at Chicago,2021
215,Wuhan University,2021
