省份,年份,文理综合,当前分数人数,分数,总人数
xxx,2021,xxx,55,693,55
xxx,2021,xxx,4,692,59
xxx,2021,xxx,4,691,63
xxx,2021,xxx,1,690,64
xxx,2021,xxx,4,689,68
xxx,2021,xxx,2,688,70
xxx,2021,xxx,6,687,76
xxx,2021,xxx,9,686,85
xxx,2021,xxx,11,685,96
xxx,2021,xxx,9,684,105
xxx,2021,xxx,7,683,112
xxx,2021,xxx,14,682,126
xxx,2021,xxx,12,681,138
xxx,2021,xxx,12,680,150
xxx,2021,xxx,13,679,163
xxx,2021,xxx,17,678,180
xxx,2021,xxx,17,677,197
xxx,2021,xxx,21,676,218
xxx,2021,xxx,12,675,230
xxx,2021,xxx,16,674,246
xxx,2021,xxx,17,673,263
xxx,2021,xxx,13,672,276
xxx,2021,xxx,13,671,289
xxx,2021,xxx,19,670,308
xxx,2021,xxx,21,669,329
xxx,2021,xxx,16,668,345
xxx,2021,xxx,24,667,369
xxx,2021,xxx,21,666,390
xxx,2021,xxx,26,665,416
xxx,2021,xxx,29,664,445
xxx,2021,xxx,34,663,479
xxx,2021,xxx,31,662,510
xxx,2021,xxx,34,661,544
xxx,2021,xxx,24,660,568
xxx,2021,xxx,35,659,603
xxx,2021,xxx,36,658,639
xxx,2021,xxx,46,657,685
xxx,2021,xxx,42,656,727
xxx,2021,xxx,44,655,771
xxx,2021,xxx,40,654,811
xxx,2021,xxx,37,653,848
xxx,2021,xxx,52,652,900
xxx,2021,xxx,48,651,948
xxx,2021,xxx,52,650,1000
xxx,2021,xxx,35,649,1035
xxx,2021,xxx,56,648,1091
xxx,2021,xxx,53,647,1144
xxx,2021,xxx,78,646,1222
xxx,2021,xxx,76,645,1298
xxx,2021,xxx,70,644,1368
xxx,2021,xxx,70,643,1438
xxx,2021,xxx,57,642,1495
xxx,2021,xxx,69,641,1564
xxx,2021,xxx,90,640,1654
xxx,2021,xxx,78,639,1732
xxx,2021,xxx,92,638,1824
xxx,2021,xxx,76,637,1900
xxx,2021,xxx,77,636,1977
xxx,2021,xxx,84,635,2061
xxx,2021,xxx,97,634,2158
xxx,2021,xxx,96,633,2254
xxx,2021,xxx,92,632,2346
xxx,2021,xxx,112,631,2458
xxx,2021,xxx,106,630,2564
xxx,2021,xxx,101,629,2665
xxx,2021,xxx,117,628,2782
xxx,2021,xxx,123,627,2905
xxx,2021,xxx,126,626,3031
xxx,2021,xxx,135,625,3166
xxx,2021,xxx,116,624,3282
xxx,2021,xxx,148,623,3430
xxx,2021,xxx,144,622,3574
xxx,2021,xxx,131,621,3705
xxx,2021,xxx,143,620,3848
xxx,2021,xxx,146,619,3994
xxx,2021,xxx,176,618,4170
xxx,2021,xxx,135,617,4305
xxx,2021,xxx,153,616,4458
xxx,2021,xxx,170,615,4628
xxx,2021,xxx,162,614,4790
xxx,2021,xxx,165,613,4955
xxx,2021,xxx,171,612,5126
xxx,2021,xxx,176,611,5302
xxx,2021,xxx,156,610,5458
xxx,2021,xxx,183,609,5641
xxx,2021,xxx,178,608,5819
xxx,2021,xxx,182,607,6001
xxx,2021,xxx,194,606,6195
xxx,2021,xxx,227,605,6422
xxx,2021,xxx,199,604,6621
xxx,2021,xxx,221,603,6842
xxx,2021,xxx,200,602,7042
xxx,2021,xxx,208,601,7250
xxx,2021,xxx,215,600,7465
xxx,2021,xxx,205,599,7670
xxx,2021,xxx,234,598,7904
xxx,2021,xxx,244,597,8148
xxx,2021,xxx,210,596,8358
xxx,2021,xxx,216,595,8574
xxx,2021,xxx,219,594,8793
xxx,2021,xxx,244,593,9037
xxx,2021,xxx,277,592,9314
xxx,2021,xxx,250,591,9564
xxx,2021,xxx,260,590,9824
xxx,2021,xxx,277,589,10101
xxx,2021,xxx,267,588,10368
xxx,2021,xxx,270,587,10638
xxx,2021,xxx,279,586,10917
xxx,2021,xxx,279,585,11196
xxx,2021,xxx,268,584,11464
xxx,2021,xxx,283,583,11747
xxx,2021,xxx,322,582,12069
xxx,2021,xxx,296,581,12365
xxx,2021,xxx,308,580,12673
xxx,2021,xxx,343,579,13016
xxx,2021,xxx,297,578,13313
xxx,2021,xxx,324,577,13637
xxx,2021,xxx,347,576,13984
xxx,2021,xxx,331,575,14315
xxx,2021,xxx,333,574,14648
xxx,2021,xxx,360,573,15008
xxx,2021,xxx,343,572,15351
xxx,2021,xxx,296,571,15647
xxx,2021,xxx,358,570,16005
xxx,2021,xxx,337,569,16342
xxx,2021,xxx,368,568,16710
xxx,2021,xxx,327,567,17037
xxx,2021,xxx,382,566,17419
xxx,2021,xxx,358,565,17777
xxx,2021,xxx,388,564,18165
xxx,2021,xxx,322,563,18487
xxx,2021,xxx,403,562,18890
xxx,2021,xxx,432,561,19322
xxx,2021,xxx,392,560,19714
xxx,2021,xxx,404,559,20118
xxx,2021,xxx,377,558,20495
xxx,2021,xxx,384,557,20879
xxx,2021,xxx,380,556,21259
xxx,2021,xxx,383,555,21642
xxx,2021,xxx,457,554,22099
xxx,2021,xxx,413,553,22512
xxx,2021,xxx,423,552,22935
xxx,2021,xxx,471,551,23406
xxx,2021,xxx,454,550,23860
xxx,2021,xxx,438,549,24298
xxx,2021,xxx,419,548,24717
xxx,2021,xxx,426,547,25143
xxx,2021,xxx,454,546,25597
xxx,2021,xxx,417,545,26014
xxx,2021,xxx,426,544,26440
xxx,2021,xxx,423,543,26863
xxx,2021,xxx,492,542,27355
xxx,2021,xxx,478,541,27833
xxx,2021,xxx,437,540,28270
xxx,2021,xxx,484,539,28754
xxx,2021,xxx,445,538,29199
xxx,2021,xxx,451,537,29650
xxx,2021,xxx,474,536,30124
xxx,2021,xxx,477,535,30601
xxx,2021,xxx,480,534,31081
xxx,2021,xxx,505,533,31586
xxx,2021,xxx,482,532,32068
xxx,2021,xxx,465,531,32533
xxx,2021,xxx,492,530,33025
xxx,2021,xxx,513,529,33538
xxx,2021,xxx,513,528,34051
xxx,2021,xxx,514,527,34565
xxx,2021,xxx,514,526,35079
xxx,2021,xxx,546,525,35625
xxx,2021,xxx,531,524,36156
xxx,2021,xxx,545,523,36701
xxx,2021,xxx,546,522,37247
xxx,2021,xxx,534,521,37781
xxx,2021,xxx,535,520,38316
xxx,2021,xxx,576,519,38892
xxx,2021,xxx,487,518,39379
xxx,2021,xxx,530,517,39909
xxx,2021,xxx,578,516,40487
xxx,2021,xxx,558,515,41045
xxx,2021,xxx,563,514,41608
xxx,2021,xxx,560,513,42168
xxx,2021,xxx,568,512,42736
xxx,2021,xxx,596,511,43332
xxx,2021,xxx,502,510,43834
xxx,2021,xxx,581,509,44415
xxx,2021,xxx,588,508,45003
xxx,2021,xxx,569,507,45572
xxx,2021,xxx,595,506,46167
xxx,2021,xxx,591,505,46758
xxx,2021,xxx,602,504,47360
xxx,2021,xxx,585,503,47945
xxx,2021,xxx,603,502,48548
xxx,2021,xxx,619,501,49167
xxx,2021,xxx,627,500,49794
xxx,2021,xxx,608,499,50402
xxx,2021,xxx,607,498,51009
xxx,2021,xxx,603,497,51612
xxx,2021,xxx,569,496,52181
xxx,2021,xxx,598,495,52779
xxx,2021,xxx,595,494,53374
xxx,2021,xxx,599,493,53973
xxx,2021,xxx,630,492,54603
xxx,2021,xxx,627,491,55230
xxx,2021,xxx,650,490,55880
xxx,2021,xxx,647,489,56527
xxx,2021,xxx,639,488,57166
xxx,2021,xxx,640,487,57806
xxx,2021,xxx,658,486,58464
xxx,2021,xxx,626,485,59090
xxx,2021,xxx,655,484,59745
xxx,2021,xxx,664,483,60409
xxx,2021,xxx,622,482,61031
xxx,2021,xxx,704,481,61735
xxx,2021,xxx,667,480,62402
xxx,2021,xxx,589,479,62991
xxx,2021,xxx,632,478,63623
xxx,2021,xxx,676,477,64299
xxx,2021,xxx,703,476,65002
xxx,2021,xxx,662,475,65664
xxx,2021,xxx,638,474,66302
xxx,2021,xxx,653,473,66955
xxx,2021,xxx,646,472,67601
xxx,2021,xxx,684,471,68285
xxx,2021,xxx,638,470,68923
xxx,2021,xxx,656,469,69579
xxx,2021,xxx,698,468,70277
xxx,2021,xxx,683,467,70960
xxx,2021,xxx,678,466,71638
xxx,2021,xxx,690,465,72328
xxx,2021,xxx,667,464,72995
xxx,2021,xxx,724,463,73719
xxx,2021,xxx,685,462,74404
xxx,2021,xxx,714,461,75118
xxx,2021,xxx,710,460,75828
xxx,2021,xxx,658,459,76486
xxx,2021,xxx,651,458,77137
xxx,2021,xxx,698,457,77835
xxx,2021,xxx,668,456,78503
xxx,2021,xxx,654,455,79157
xxx,2021,xxx,643,454,79800
xxx,2021,xxx,681,453,80481
xxx,2021,xxx,704,452,81185
xxx,2021,xxx,709,451,81894
xxx,2021,xxx,714,450,82608
xxx,2021,xxx,733,449,83341
xxx,2021,xxx,720,448,84061
xxx,2021,xxx,658,447,84719
xxx,2021,xxx,720,446,85439
xxx,2021,xxx,721,445,86160
xxx,2021,xxx,664,444,86824
xxx,2021,xxx,693,443,87517
xxx,2021,xxx,664,442,88181
xxx,2021,xxx,682,441,88863
xxx,2021,xxx,654,440,89517
xxx,2021,xxx,712,439,90229
xxx,2021,xxx,685,438,90914
xxx,2021,xxx,741,437,91655
xxx,2021,xxx,686,436,92341
xxx,2021,xxx,725,435,93066
xxx,2021,xxx,670,434,93736
xxx,2021,xxx,754,433,94490
xxx,2021,xxx,672,432,95162
xxx,2021,xxx,616,431,95778
xxx,2021,xxx,663,430,96441
xxx,2021,xxx,660,429,97101
xxx,2021,xxx,640,428,97741
xxx,2021,xxx,644,427,98385
xxx,2021,xxx,666,426,99051
xxx,2021,xxx,651,425,99702
xxx,2021,xxx,692,424,100394
xxx,2021,xxx,661,423,101055
xxx,2021,xxx,641,422,101696
xxx,2021,xxx,662,421,102358
xxx,2021,xxx,626,420,102984
xxx,2021,xxx,687,419,103671
xxx,2021,xxx,666,418,104337
xxx,2021,xxx,657,417,104994
xxx,2021,xxx,673,416,105667
xxx,2021,xxx,661,415,106328
xxx,2021,xxx,636,414,106964
xxx,2021,xxx,611,413,107575
xxx,2021,xxx,634,412,108209
xxx,2021,xxx,624,411,108833
xxx,2021,xxx,615,410,109448
xxx,2021,xxx,589,409,110037
xxx,2021,xxx,637,408,110674
xxx,2021,xxx,630,407,111304
xxx,2021,xxx,625,406,111929
xxx,2021,xxx,576,405,112505
xxx,2021,xxx,611,404,113116
xxx,2021,xxx,636,403,113752
xxx,2021,xxx,643,402,114395
xxx,2021,xxx,609,401,115004
xxx,2021,xxx,639,400,115643
xxx,2021,xxx,637,399,116280
xxx,2021,xxx,584,398,116864
xxx,2021,xxx,559,397,117423
xxx,2021,xxx,585,396,118008
xxx,2021,xxx,591,395,118599
xxx,2021,xxx,598,394,119197
xxx,2021,xxx,594,393,119791
xxx,2021,xxx,589,392,120380
xxx,2021,xxx,556,391,120936
xxx,2021,xxx,589,390,121525
xxx,2021,xxx,584,389,122109
xxx,2021,xxx,572,388,122681
xxx,2021,xxx,540,387,123221
xxx,2021,xxx,537,386,123758
xxx,2021,xxx,540,385,124298
xxx,2021,xxx,570,384,124868
xxx,2021,xxx,565,383,125433
xxx,2021,xxx,489,382,125922
xxx,2021,xxx,556,381,126478
xxx,2021,xxx,523,380,127001
xxx,2021,xxx,523,379,127524
xxx,2021,xxx,479,378,128003
xxx,2021,xxx,534,377,128537
xxx,2021,xxx,523,376,129060
xxx,2021,xxx,522,375,129582
xxx,2021,xxx,517,374,130099
xxx,2021,xxx,496,373,130595
xxx,2021,xxx,488,372,131083
xxx,2021,xxx,500,371,131583
xxx,2021,xxx,505,370,132088
xxx,2021,xxx,460,369,132548
xxx,2021,xxx,441,368,132989
xxx,2021,xxx,486,367,133475
xxx,2021,xxx,451,366,133926
xxx,2021,xxx,473,365,134399
xxx,2021,xxx,470,364,134869
xxx,2021,xxx,447,363,135316
xxx,2021,xxx,426,362,135742
xxx,2021,xxx,419,361,136161
xxx,2021,xxx,458,360,136619
xxx,2021,xxx,441,359,137060
xxx,2021,xxx,465,358,137525
xxx,2021,xxx,421,357,137946
xxx,2021,xxx,440,356,138386
xxx,2021,xxx,463,355,138849
xxx,2021,xxx,441,354,139290
xxx,2021,xxx,432,353,139722
xxx,2021,xxx,436,352,140158
xxx,2021,xxx,426,351,140584
xxx,2021,xxx,374,350,140958
xxx,2021,xxx,434,349,141392
xxx,2021,xxx,434,348,141826
xxx,2021,xxx,376,347,142202
xxx,2021,xxx,435,346,142637
