排名,学校,毕业后五年月薪
1,上海电影艺术职业学院,9577
2,深圳职业技术学院,8395
3,上海旅游高等专科学校,8350
4,黑龙江建筑职业技术学院,8303
5,北京科技职业学院,8298
6,浙江育英职业技术学院,8282
7,四川建筑职业技术学院,8269
8,上海工艺美术职业学院,8263
9,上海出版印刷高等专科学校,8259
10,北京青年政治学院,8246
11,北京现代职业技术学院,8177
12,北京科技大学延庆分校,8164
13,湖南工艺美术职业学院,8157
14,广州城建职业学院,8150
15,上海海事职业技术学院,8110
16,广州体育职业技术学院,8103
17,马鞍山师范高等专科学校,8093
18,蚌埠经济技术职业学院,8088
19,广东建设职业技术学院,8064
20,北京汇佳职业学院,8031
21,苏州工艺美术职业技术学院,8012
22,江西环境工程职业学院,8009
23,深圳信息职业技术学院,8007
24,珠海艺术职业学院,7993
25,承德石油高等专科学校,7958
26,青岛远洋船员职业学院,7956
27,湖北科技职业学院,7943
28,江西青年职业学院,7936
29,浙江同济科技职业学院,7915
30,上海工商外国语职业学院,7895
31,浙江医药高等专科学校,7889
32,北京科技经营管理学院,7881
33,北京经贸职业学院,7873
34,广东水利电力职业技术学院,7868
35,上海中华职业技术学院,7855
36,上海电子信息职业技术学院,7852
37,广西现代职业技术学院,7850
38,重庆建筑工程职业学院,7845
39,厦门城市职业学院,7845
40,上海邦德职业技术学院,7838
41,上海中侨职业技术学院,7809
42,浙江警官职业学院,7809
43,浙江交通职业技术学院,7805
44,湖南高速铁路职业技术学院,7787
45,江苏建筑职业技术学院,7787
46,长江工程职业技术学院,7786
47,福建水利电力职业技术学院,7774
48,北京经济管理职业学院,7767
49,北京工业职业技术学院,7749
50,安徽体育运动职业技术学院,7749
51,湖北城市建设职业技术学院,7743
52,湖南安全技术职业学院,7741
53,四川国际标榜职业学院,7718
54,张家口职业技术学院,7683
55,北京培黎职业学院,7679
56,浙江邮电职业技术学院,7668
57,内蒙古建筑职业技术学院,7657
58,北京经济技术职业学院,7656
59,广东轻工职业技术学院,7654
60,湖南艺术职业学院,7641
61,上海农林职业技术学院,7639
62,四川城市职业学院,7638
63,九江职业大学,7634
64,石家庄工程职业学院,7618
65,鹰潭职业技术学院,7609
66,江西应用技术职业学院,7602
67,湖南大众传媒职业技术学院,7597
68,江西经济管理干部学院,7591
69,广东文艺职业学院,7585
70,江西陶瓷工艺美术职业技术学院,7576
71,浙江工贸职业技术学院,7574
72,江西机电职业技术学院,7569
73,上海济光职业技术学院,7566
74,广州民航职业技术学院,7561
75,海南职业技术学院,7552
76,武汉航海职业技术学院,7552
