排名,学校,毕业后五年月薪
1,清华大学,17151
2,上海财经大学,16279
3,上海交通大学,15898
4,复旦大学,15405
5,北京大学,14391
6,上海外国语大学,14364
7,中央美术学院,14348
8,外交学院,14346
9,同济大学,14284
10,北京邮电大学,14248
11,对外经济贸易大学,14184
12,中国人民大学,14084
13,北京电影学院,13957
14,浙江大学,13876
15,上海对外经贸大学,13761
16,北京外国语大学,13712
17,中央财经大学,13681
18,中山大学,13549
19,中国科学技术大学,13484
20,北京航空航天大学,13284
21,北京大学医学部,12987
22,中国传媒大学,12940
23,北京理工大学,12796
24,华东师范大学,12778
25,国际关系学院,12589
26,华南理工大学,12577
27,北京交通大学,12558
28,中央戏剧学院,12519
29,南京大学,12488
30,厦门大学,12481
31,首都经济贸易大学,12465
32,北京工业大学,12414
33,暨南大学,12272
34,北京语言大学,12230
35,西安交通大学,12230
36,东华大学,12183
37,宁波诺丁汉大学,12105
38,深圳大学,12104
39,北京第二外国语学院,12088
40,广州美术学院,12067
41,华东政法大学,12059
42,广东外语外贸大学,12019
43,上海大学,11955
44,北京科技大学,11947
45,华东理工大学,11929
46,华中科技大学,11929
47,哈尔滨工业大学,11915
48,中国美术学院,11913
49,中国政法大学,11912
50,中国青年政治学院,11863
51,大连理工大学,11845
52,东南大学,11787
53,北京师范大学,11720
54,西安电子科技大学,11673
55,上海海事大学,11668
56,中国戏曲学院,11636
57,北京信息科技大学,11629
58,北京化工大学,11622
59,上海理工大学,11603
60,北方工业大学,11574
61,中央民族大学,11540
62,天津大学,11516
63,北京电子科技学院,11390
64,北京服装学院,11355
65,大连海事大学,11319
66,湖南大学,11300
67,中国农业大学,11282
68,武汉大学,11272
69,中国矿业大学(北京),11264
70,北京建筑大学,11257
71,南开大学,11256
72,西南财经大学,11215
73,北京工商大学,11184
74,哈尔滨工程大学,11134
75,首都医科大学,11128
76,北京林业大学,11126
77,上海交通大学医学院,11120
78,北京师范大学-香港浸会大学联合国际学院,11111
79,江西财经大学,11067
80,中南大学,11058
81,北京物资学院,11057
82,西北工业大学,11041
83,首都师范大学,11035
84,电子科技大学,11019
85,吉林大学,10999
86,上海电力大学,10969
87,上海师范大学,10964
88,中央音乐学院,10930
89,重庆大学,10928
90,北京体育大学,10831
91,华北科技学院,10825
92,中国民航大学,10794
93,汕头大学,10787
94,江西应用科技学院,10769
95,上海音乐学院,10760
96,上海杉达学院,10736
97,杭州电子科技大学,10716
98,北京印刷学院,10710
99,上海工程技术大学,10708
100,浙江工业大学,10660
101,南京邮电大学,10650
102,南京航空航天大学,10634
103,北京航空航天大学北海学院,10558
104,四川大学,10549
105,中国地质大学(武汉),10497
106,北京联合大学,10496
107,广东工业大学,10491
108,上海体育学院,10471
109,华侨大学,10453
110,南京理工大学,10410
111,东北大学,10406
112,北京石油化工学院,10398
113,河北建筑工程学院,10388
114,浙江财经大学,10380
115,南方医科大学,10369
116,防灾科技学院,10364
117,中国劳动关系学院,10329
118,中国音乐学院,10327
119,中南财经政法大学,10325
120,北京城市学院,10308
121,天津美术学院,10308
122,天津财经大学,10300
123,浙江工商大学,10297
124,广东财经大学,10291
125,上海政法学院,10272
126,上海商学院,10268
127,江西工程学院,10266
128,河北金融学院,10251
129,上海海洋大学,10249
130,河海大学,10236
131,合肥工业大学,10230
132,河北美术学院,10221
133,西南交通大学,10218
134,山东大学,10214
135,华南师范大学,10206
136,四川美术学院,10202
137,江西服装学院,10178
138,上海应用技术大学,10176
139,南昌大学,10171
140,北京邮电大学世纪学院,10168
141,桂林电子科技大学,10132
142,福州大学,10122
143,北华航天工业学院,10107
144,浙江传媒学院,10103
145,华东交通大学,10100
146,重庆邮电大学,10098
147,福建工程学院,10097
148,洛阳理工学院,10084
149,上海第二工业大学,10077
150,长安大学,10051
151,鲁迅美术学院,10050
152,中国矿业大学,10047
153,四川外国语大学,10037
154,哈尔滨理工大学,10032
155,武汉理工大学,10027
156,北京吉利学院,10021
157,西安邮电大学,10013
158,北京中医药大学,9998
159,西安美术学院,9998
160,江西理工大学,9991
161,西安建筑科技大学,9983
162,石家庄铁道大学,9964
163,兰州大学,9959
164,河北大学,9943
165,吉林动画学院,9941
166,中国石油大学(华东),9940
167,首都体育学院,9940
168,郑州大学,9910
169,浙江理工大学,9898
170,内蒙古大学,9868
171,南昌航空大学,9867
172,湖南城市学院,9866
173,湖北美术学院,9838
174,哈尔滨医科大学,9837
175,东北财经大学,9836
176,河北工业大学,9830
177,吉林建筑大学,9821
178,中国民用航空飞行学院,9813
179,燕山大学,9803
180,西南政法大学,9802
181,中国计量大学,9797
182,集美大学,9789
183,南华大学,9787
184,沈阳建筑大学,9786
185,河北工程大学,9784
186,荆楚理工学院,9783
187,长沙理工大学,9772
188,华南农业大学,9770
189,南京传媒学院,9762
190,华北水利水电大学,9750
191,宁波大学,9749
192,广州中医药大学,9743
193,湖北汽车工业学院,9713
194,安徽建筑大学,9710
195,上海建桥学院,9708
196,东华理工大学,9703
197,中国海洋大学,9700
198,重庆交通大学,9700
199,东北师范大学,9695
200,湘潭大学,9686
201,中华女子学院,9685
202,浙江科技学院,9683
203,东北林业大学,9683
204,北京师范大学珠海分校,9673
205,安徽大学,9670
206,浙江大学城市学院,9664
207,东北石油大学,9658
208,东北电力大学,9657
209,湖南工业大学,9656
210,北京工业大学耿丹学院,9616
211,黑龙江大学,9615
212,武汉科技大学,9612
213,南京审计大学,9608
214,广州大学,9596
215,湖南师范大学,9588
216,河南大学,9566
217,西安外国语大学,9564
218,吉林艺术学院,9543
219,厦门理工学院,9537
220,首都师范大学科德学院,9532
221,湖南工程学院,9519
222,上海中医药大学,9519
223,南京艺术学院,9517
224,南阳理工学院,9516
225,广东海洋大学,9510
226,云南大学,9496
227,江西师范大学,9494
228,中国药科大学,9490
229,中国人民公安大学,9480
230,大连外国语大学,9478
231,星海音乐学院,9466
232,广东金融学院,9463
233,石家庄学院,9463
234,长春工程学院,9463
235,天津音乐学院,9452
236,西北大学,9447
237,中国医科大学,9432
238,中南民族大学,9430
239,湖南科技大学,9428
240,九江学院,9427
241,江南大学,9424
242,南昌工程学院,9407
243,上海电机学院,9400
244,兰州交通大学,9397
245,南京工业大学,9377
246,湖南工学院,9374
247,温州大学,9373
248,蚌埠医学院,9366
249,上海外国语大学贤达经济人文学院,9365
250,湖北工程学院,9365
251,江西农业大学,9364
252,浙江外国语学院,9364
253,安徽理工大学,9361
254,河南城建学院,9351
255,长春理工大学,9333
256,华中农业大学,9330
257,广东培正学院,9330
258,大连交通大学,9329
259,燕京理工学院,9291
260,天津外国语大学,9283
261,中央司法警官学院,9281
262,海南大学,9277
263,华北理工大学,9273
264,东莞理工学院,9271
265,长沙学院,9268
266,安徽财经大学,9262
267,太原理工大学,9257
268,湖南工商大学,9251
269,北京农学院,9251
270,中国人民警察大学,9249
271,内蒙古科技大学,9245
272,广东技术师范大学,9239
273,苏州大学,9238
274,宜春学院,9237
275,湖南科技学院,9237
276,景德镇陶瓷大学科技艺术学院,9227
277,江苏科技大学,9218
278,西安理工大学,9216
279,华中师范大学,9216
280,五邑大学,9214
281,安徽工业大学,9210
282,赣南师范大学,9209
283,黑龙江科技大学,9205
284,西南石油大学,9205
285,河北经贸大学,9201
286,山东建筑大学,9196
287,天津医科大学,9190
288,长江大学,9189
289,广西艺术学院,9186
290,新疆医科大学,9185
291,三峡大学,9185
292,贵州大学,9184
293,成都理工大学,9180
294,邯郸学院,9174
295,南昌职业大学,9169
296,中南林业科技大学,9167
297,广州体育学院,9160
298,南昌理工学院,9158
299,内蒙古工业大学,9157
300,湖北工业大学,9152
301,南京师范大学,9152
302,湖南理工学院,9143
303,浙江大学宁波理工学院,9140
304,延边大学,9132
305,安徽医科大学,9131
306,昆明理工大学,9127
307,四川音乐学院,9124
308,西南科技大学,9122
309,天津城建大学,9118
310,武汉工程大学,9118
311,绍兴文理学院,9115
312,内蒙古财经大学,9110
313,北京工商大学嘉华学院,9109
314,江苏大学,9103
315,南京财经大学,9103
316,武汉纺织大学,9098
317,山西财经大学,9097
318,江西科技师范大学,9095
319,新疆艺术学院,9092
320,西安科技大学,9086
321,黑龙江工程学院,9085
322,厦门大学嘉庚学院,9081
323,吉首大学,9078
324,河南理工大学,9076
325,天津工业大学,9074
326,湘南学院,9074
327,河北地质大学,9072
328,内蒙古师范大学,9067
329,湖南人文科技学院,9063
330,衡阳师范学院,9062
331,湖南涉外经济学院,9058
332,北京理工大学珠海学院,9056
333,苏州科技大学,9055
334,中原工学院,9055
335,兰州理工大学,9054
336,嘉应学院,9047
337,桂林理工大学,9046
338,四川传媒学院,9042
339,南京农业大学,9040
340,广东工业大学华立学院,9040
341,哈尔滨商业大学,9038
342,惠州学院,9037
343,邵阳学院,9031
344,景德镇陶瓷大学,9017
345,湖北文理学院,9016
346,齐齐哈尔医学院,9015
347,河南科技大学,9015
348,大连民族大学,9013
349,浙江农林大学,9011
